row_num,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravities,gravities,Gravity,Gravity
2160,Kepler-1559 b,1892,0.299,14.488,2016,Terrestrial,0.72,Unknown,1 days,0,Kepler-1556,Transit,,,19h13m35.28s,+40d12m47.5s,5608,0.97,0.95,5.389218533013508e-11,3.847087191358025e-11
2163,Kepler-1560 b,1726,0.64,13.385,2016,Terrestrial,0.89,Unknown,3 days,0,Kepler-1559,Transit,,,19h29m08.78s,+42d04m20.8s,5316,0.86,0.82,4.1146488888888884e-11,5.389218533013508e-11
2166,Kepler-1563 b,1784,0.347,13.568,2016,Terrestrial,0.75,Unknown,3.4 days,0,Kepler-1560,Transit,,,19h31m08.31s,+43d12m57.5s,5815,1.02,1.02,4.4673289536933176e-11,4.1146488888888884e-11
2169,Kepler-1566 b,1667,0.418,14.312,2016,Terrestrial,0.79,Unknown,0.5 days,0,Kepler-1563,Transit,,,19h14m17.66s,+51d28m21.9s,5765,1,0.99,8.176799886621316e-11,4.4673289536933176e-11
2177,Kepler-1572 b,1957,0.779,13.718,2016,Terrestrial,0.94,Unknown,5.5 days,0,Kepler-157,Transit,,,19h24m23.33s,+38d52m32.2s,5774,,1.04,8.822854146028785e-11,5.880409687641468e-11
2184,Kepler-1579 b,1520,0.52,15.248,2016,Terrestrial,0.84,Unknown,0.8 days,0,Kepler-1575,Transit,,,19h34m58.38s,+45d45m41.7s,5667,0.95,0.92,8.542456370801276e-11,4.915532879818595e-11
2189,Kepler-1581 b,1445,0.437,12.353,2016,Terrestrial,0.8,Unknown,6.3 days,0,Kepler-158,Transit,,,18h56m07.74s,+39d46m52.9s,4623,,0.62,8.285714285714286e-11,4.5543593749999994e-11
2191,Kepler-1583 b,1165,0.156,12.841,2016,Terrestrial,0.6,Unknown,9.3 days,0,Kepler-1580,Transit,,,19h03m52.49s,+41d21m48.8s,6228,1.47,2.15,8.429882271468144e-11,2.8903333333333333e-11
2196,Kepler-1588 b,2146,0.363,13.821,2016,Terrestrial,0.76,Unknown,7.8 days,0,Kepler-1585,Transit,,,19h44m38.16s,+44d33m47.2s,5538,0.94,0.91,7.8894459833795e-11,4.191845567867036e-11
2208,Kepler-1598 b,2394,0.809,13.814,2016,Terrestrial,0.95,Unknown,4.3 days,0,Kepler-1595,Transit,,,19h02m53.45s,+43d00m34.1s,5203,0.84,0.8,8.299969702216067e-09,5.978980609418284e-11
2214,Kepler-1601 b,2153,0.477,13.678,2016,Terrestrial,0.82,Unknown,2.2 days,0,Kepler-160,Transit,,,19h11m05.66s,+42d52m09.4s,5471,,1.12,8.622252401790654e-11,4.731692444973231e-11
2220,Kepler-1607 b,2398,0.721,13.875,2016,Terrestrial,0.92,Unknown,13.6 days,0,Kepler-1603,Transit,,,19h41m19.16s,+42d32m05.9s,6241,1.21,1.31,8.14126766908346e-11,5.681793478260869e-11
2227,Kepler-1611 b,2238,0.457,14.412,2016,Terrestrial,0.81,Unknown,5.2 days,0,Kepler-161,Transit,,,19h22m03.96s,+43d05m01.8s,5078,,0.81,7.701715524554624e-11,4.6459228776101196e-11
2235,Kepler-1619 b,1696,0.363,13.299,2016,Terrestrial,0.76,Unknown,23.6 days,0,Kepler-1616,Transit,,,19h06m10.47s,+45d18m17.5s,6266,1.21,1.34,7.591242283950616e-11,4.191845567867036e-11
2247,Kepler-1629 b,1272,0.381,12.714,2016,Terrestrial,0.77,Unknown,3.9 days,0,Kepler-1626,Transit,,,19h46m00.11s,+40d43m16.4s,6826,1.51,1.85,8.746941015089162e-11,4.286169674481363e-11
2257,Kepler-1637 b,1651,0.64,13.273,2016,Terrestrial,0.89,Unknown,6.1 days,0,Kepler-1634,Transit,,,19h36m10.42s,+45d08m23.2s,5474,0.92,0.89,9.366508185472011e-09,5.389218533013508e-11
2277,Kepler-1650 b,393,0.84,15.739,2017,Terrestrial,0.96,Unknown,1.5 days,0.01,Kepler-1649,Transit,89.339,,19h30m00.90s,+41d49m49.5s,3240,0.2,0.23,1.58009037496217e-08,6.079427083333332e-11
2322,Kepler-1689 b,968,0.799,12.108,2020,Terrestrial,0.947,Unknown,8.5 days,0,Kepler-1686,Transit,,,19h26m25.61s,+42d02m09.3s,5774.33,,1.14,7.963055631863032e-11,5.942547409760608e-11
2419,Kepler-197 e,1089,0.693,11.78,2014,Terrestrial,0.91,0.164 AU,25.2 days,0.38,Kepler-197,Transit,,,19h40m54.34s,+50d33m32.4s,6004,,1.12,8.562538284090758e-09,5.58182586644125e-11
2456,Kepler-20 e,929,3.08,12.51,2011,Terrestrial,0.865,0.0639 AU,6.1 days,< 0.28,Kepler-208,Transit,,,19h35m33.65s,+42d31m40.8s,6092,,1.31,8.183343078147016e-09,2.745644692438772e-10
2485,Kepler-220 b,561,0.457,12.857,2014,Terrestrial,0.81,0.046 AU,4.2 days,0,Kepler-22,Transit,89.764,14.7,19h16m52.20s,+47d53m04.1s,5518,0.97,0.98,8.143326151636402e-11,4.6459228776101196e-11
2487,Kepler-220 d,561,0.904,12.857,2014,Terrestrial,0.98,0.163 AU,28.1 days,0,Kepler-220,Transit,,,19h26m01.50s,+46d53m44.8s,4632,,0.67,8.85061139478635e-09,6.278300708038318e-11
